
2024/07/02 (20:10:53) | ===> btop++ v.1.3.2
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/02 (20:10:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
